ТТ;Тип;Код МО;Наименование МО;Адрес;н1;к1;н2;к2;н3;к3;Подпись;Общее МО
*001-2114*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0030*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0031*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0133*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0134*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0135*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0136*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0137*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0138*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0139*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0140*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0141*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0142*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0143*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0144*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0145*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0146*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0147*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0148*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0149*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0150*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0151*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0152*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0153*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0154*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0155*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0156*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0157*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0158*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0159*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0160*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0161*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0162*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0163*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0164*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0165*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0166*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0167*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0168*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0169*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0170*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0171*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0172*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0173*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0174*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0175*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0176*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0177*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0180*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-0181*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-1989*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-1990*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-1991*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-1992*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-1993*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-1994*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
*001-1995*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.П. Демихова Департамента здравоохранения города Москвы"", Амбулаторно-поликлинический центр";г. Москва, 3-й квартал Капотня, д. 27;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В. П. Демихова ДЗМ»;ГКБ им. В. П. Демихова
