ТТ;Тип;Код МО;Наименование МО;Адрес;н1;к1;н2;к2;н3;к3;Подпись;Общее МО
*004-0108*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 31 им. Г.М. Савельевой Департамента здравоохранения города Москвы"", Женская консультация ""Новопеределкино""";г. Москва, п. Внуковское, ул. Лётчика Грицевца, д. 14;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ №31 им. Г.М. Савельевой ДЗМ»;ГКБ31 им. Г.М. Савельевой
*004-0109*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 31 им. Г.М. Савельевой Департамента здравоохранения города Москвы"", Женская консультация ""Новопеределкино""";г. Москва, п. Внуковское, ул. Лётчика Грицевца, д. 14;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ №31 им. Г.М. Савельевой ДЗМ»;ГКБ31 им. Г.М. Савельевой
*004-0111*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 31 им. Г.М. Савельевой Департамента здравоохранения города Москвы"", Женская консультация ""Новопеределкино""";г. Москва, п. Внуковское, ул. Лётчика Грицевца, д. 14;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ №31 им. Г.М. Савельевой ДЗМ»;ГКБ31 им. Г.М. Савельевой
*004-0112*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 31 им. Г.М. Савельевой Департамента здравоохранения города Москвы"", Женская консультация ""Новопеределкино""";г. Москва, п. Внуковское, ул. Лётчика Грицевца, д. 14;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ №31 им. Г.М. Савельевой ДЗМ»;ГКБ31 им. Г.М. Савельевой
*004-0113*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 31 им. Г.М. Савельевой Департамента здравоохранения города Москвы"", Женская консультация ""Новопеределкино""";г. Москва, п. Внуковское, ул. Лётчика Грицевца, д. 14;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ №31 им. Г.М. Савельевой ДЗМ»;ГКБ31 им. Г.М. Савельевой
*004-0599*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 31 им. Г.М. Савельевой Департамента здравоохранения города Москвы"", Женская консультация ""Новопеределкино""";г. Москва, п. Внуковское, ул. Лётчика Грицевца, д. 14;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ №31 им. Г.М. Савельевой ДЗМ»;ГКБ31 им. Г.М. Савельевой
*004-0101*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 31 им. Г.М. Савельевой Департамента здравоохранения города Москвы"", Родильный дом № 4";г. Москва, ул. Новаторов, д. 3, стр. 1;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ №31 им. Г.М. Савельевой ДЗМ»;ГКБ31 им. Г.М. Савельевой
*004-0102*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 31 им. Г.М. Савельевой Департамента здравоохранения города Москвы"", Родильный дом № 4";г. Москва, ул. Новаторов, д. 3, стр. 1;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ №31 им. Г.М. Савельевой ДЗМ»;ГКБ31 им. Г.М. Савельевой
*004-0105*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 31 им. Г.М. Савельевой Департамента здравоохранения города Москвы"", Родильный дом № 4";г. Москва, ул. Новаторов, д. 3, стр. 1;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ №31 им. Г.М. Савельевой ДЗМ»;ГКБ31 им. Г.М. Савельевой
*004-0107*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 31 им. Г.М. Савельевой Департамента здравоохранения города Москвы"", Родильный дом № 4";г. Москва, ул. Новаторов, д. 3, стр. 1;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ №31 им. Г.М. Савельевой ДЗМ»;ГКБ31 им. Г.М. Савельевой
*004-0110*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 31 им. Г.М. Савельевой Департамента здравоохранения города Москвы"", Родильный дом № 4";г. Москва, ул. Новаторов, д. 3, стр. 1;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ №31 им. Г.М. Савельевой ДЗМ»;ГКБ31 им. Г.М. Савельевой
*004-0582*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 31 им. Г.М. Савельевой Департамента здравоохранения города Москвы"", Женская консультация ""Никулино""";г. Москва, ул. Озерная, д. 14;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 31 им. Г.М. Савельевой ДЗМ»;ГКБ31 им. Г.М. Савельевой
*004-0629*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 31 им. Г.М. Савельевой Департамента здравоохранения города Москвы"", Женская консультация ""Никулино""";г. Москва, ул. Озерная, д. 14;01.02.2024;29.02.2024;01.03.2024;31.03.2024;-;-;ГБУЗ «ГКБ № 31 им. Г.М. Савельевой ДЗМ»;ГКБ31 им. Г.М. Савельевой
*004-0104*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 31 им. Г.М. Савельевой Департамента здравоохранения города Москвы"", Женская консультация ""Теплый Стан""";г. Москва, ул. Профсоюзная, д. 98, корп. 11;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ №31 им. Г.М. Савельевой ДЗМ»;ГКБ31 им. Г.М. Савельевой
*004-0106*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 31 им. Г.М. Савельевой Департамента здравоохранения города Москвы"", Женская консультация ""Теплый Стан""";г. Москва, ул. Профсоюзная, д. 98, корп. 11;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ №31 им. Г.М. Савельевой ДЗМ»;ГКБ31 им. Г.М. Савельевой
*004-0077*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 52 Департамента здравоохранения города Москвы"", Филиал";г. Москва, ул. Сосновая, д. 11;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 52 ДЗМ»;ГКБ52
*004-0078*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 52 Департамента здравоохранения города Москвы"", Филиал";г. Москва, ул. Сосновая, д. 11;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 52 ДЗМ»;ГКБ52
*004-0079*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 52 Департамента здравоохранения города Москвы"", Филиал";г. Москва, ул. Сосновая, д. 11;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 52 ДЗМ»;ГКБ52
*004-0080*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 52 Департамента здравоохранения города Москвы"", Филиал";г. Москва, ул. Сосновая, д. 11;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 52 ДЗМ»;ГКБ52
*004-0081*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 52 Департамента здравоохранения города Москвы"", Филиал";г. Москва, ул. Сосновая, д. 11;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 52 ДЗМ»;ГКБ52
*004-0082*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 52 Департамента здравоохранения города Москвы"", Филиал";г. Москва, ул. Сосновая, д. 11;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 52 ДЗМ»;ГКБ52
*004-0083*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 52 Департамента здравоохранения города Москвы"", Филиал";г. Москва, ул. Сосновая, д. 11;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 52 ДЗМ»;ГКБ52
*004-0084*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 52 Департамента здравоохранения города Москвы"", Филиал";г. Москва, ул. Сосновая, д. 11;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 52 ДЗМ»;ГКБ52
*004-0085*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 52 Департамента здравоохранения города Москвы"", Филиал";г. Москва, ул. Сосновая, д. 11;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 52 ДЗМ»;ГКБ52
*004-0086*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 52 Департамента здравоохранения города Москвы"", Филиал";г. Москва, ул. Сосновая, д. 11;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 52 ДЗМ»;ГКБ52
*004-0087*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 52 Департамента здравоохранения города Москвы"", Филиал";г. Москва, ул. Сосновая, д. 11;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 52 ДЗМ»;ГКБ52
*004-0088*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 52 Департамента здравоохранения города Москвы"", Филиал";г. Москва, ул. Сосновая, д. 11;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 52 ДЗМ»;ГКБ52
*004-0089*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 52 Департамента здравоохранения города Москвы"", Филиал";г. Москва, ул. Сосновая, д. 11;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 52 ДЗМ»;ГКБ52
*004-0090*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 52 Департамента здравоохранения города Москвы"", Филиал";г. Москва, ул. Сосновая, д. 11;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 52 ДЗМ»;ГКБ52
*004-0091*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 52 Департамента здравоохранения города Москвы"", Филиал";г. Москва, ул. Сосновая, д. 11;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 52 ДЗМ»;ГКБ52
*004-0092*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 52 Департамента здравоохранения города Москвы"", Филиал";г. Москва, ул. Сосновая, д. 11;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 52 ДЗМ»;ГКБ52
*004-0093*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 52 Департамента здравоохранения города Москвы"", Филиал";г. Москва, ул. Сосновая, д. 11;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 52 ДЗМ»;ГКБ52
*004-0094*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 52 Департамента здравоохранения города Москвы"", Филиал";г. Москва, ул. Сосновая, д. 11;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 52 ДЗМ»;ГКБ52
*004-0095*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 52 Департамента здравоохранения города Москвы"", Филиал";г. Москва, ул. Сосновая, д. 11;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 52 ДЗМ»;ГКБ52
*004-0096*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 52 Департамента здравоохранения города Москвы"", Филиал";г. Москва, ул. Сосновая, д. 11;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 52 ДЗМ»;ГКБ52
*004-0097*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 52 Департамента здравоохранения города Москвы"", Филиал";г. Москва, ул. Сосновая, д. 11;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 52 ДЗМ»;ГКБ52
