ТТ;Тип;Код МО;Наименование МО;Адрес;н1;к1;н2;к2;н3;к3;Подпись;Общее МО
*005-0162*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 7";г. Москва, ул. Расковой, д. 16/26, корп. 2;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0163*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 7";г. Москва, ул. Расковой, д. 16/26, корп. 2;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0164*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 7";г. Москва, ул. Расковой, д. 16/26, корп. 2;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0165*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 7";г. Москва, ул. Расковой, д. 16/26, корп. 2;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0166*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 7";г. Москва, ул. Расковой, д. 16/26, корп. 2;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0167*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 7";г. Москва, ул. Расковой, д. 16/26, корп. 2;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0168*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 7";г. Москва, ул. Расковой, д. 16/26, корп. 2;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0169*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 7";г. Москва, ул. Расковой, д. 16/26, корп. 2;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0170*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы"", Женская консультация № 7";г. Москва, ул. Расковой, д. 16/26, корп. 2;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;ГКБ им. В.В. Вересаева
*005-0178*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 11, Консультативно-диагностическое отделение";г. Москва, Севастопольский пр-т, д. 24А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*005-0179*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 11, Консультативно-диагностическое отделение";г. Москва, Севастопольский пр-т, д. 24А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*005-0180*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 11, Консультативно-диагностическое отделение";г. Москва, Севастопольский пр-т, д. 24А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*005-0181*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 11, Консультативно-диагностическое отделение";г. Москва, Севастопольский пр-т, д. 24А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*005-0182*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 11, Консультативно-диагностическое отделение";г. Москва, Севастопольский пр-т, д. 24А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*005-0183*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 11, Консультативно-диагностическое отделение";г. Москва, Севастопольский пр-т, д. 24А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*005-0184*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 11, Консультативно-диагностическое отделение";г. Москва, Севастопольский пр-т, д. 24А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*005-0185*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 11, Консультативно-диагностическое отделение";г. Москва, Севастопольский пр-т, д. 24А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*005-0186*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 11, Консультативно-диагностическое отделение";г. Москва, Севастопольский пр-т, д. 24А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*005-0187*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 11, Консультативно-диагностическое отделение";г. Москва, Севастопольский пр-т, д. 24А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*005-0188*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 11, Консультативно-диагностическое отделение";г. Москва, Севастопольский пр-т, д. 24А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*005-0189*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 11, Консультативно-диагностическое отделение";г. Москва, Севастопольский пр-т, д. 24А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*005-0190*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 11, Консультативно-диагностическое отделение";г. Москва, Севастопольский пр-т, д. 24А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*005-0191*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 11, Консультативно-диагностическое отделение";г. Москва, Севастопольский пр-т, д. 24А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*005-0192*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 11, Консультативно-диагностическое отделение";г. Москва, Севастопольский пр-т, д. 24А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*005-0193*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 11, Консультативно-диагностическое отделение";г. Москва, Севастопольский пр-т, д. 24А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*005-0194*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 11, Консультативно-диагностическое отделение";г. Москва, Севастопольский пр-т, д. 24А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*005-0195*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 11, Консультативно-диагностическое отделение";г. Москва, Севастопольский пр-т, д. 24А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*005-0196*;Тип 2;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы"", Женская консультация № 11, Консультативно-диагностическое отделение";г. Москва, Севастопольский пр-т, д. 24А;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;ГКБ им. С.С. Юдина
*005-0001*;Тип 1;;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 1 им. Н.И. Пирогова Департамента здравоохранения города Москвы"", Поликлиническое отделение";г. Москва, Ленинский пр-т, д. 10, корп. 10;01.02.2024;29.02.2024;01.03.2024;31.03.2024;01.04.2024;30.04.2024;ГБУЗ «ГКБ № 1 им. Н.И. Пирогова ДЗМ»;ГКБ1 им. Н.И. Пирогова
